system:index,area,batch,classNumber,kommunenum,navn,.geo
00000000000000000148_1,621848.0,dwChange_2016_2022,2,3038,Hole,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148_2,89177.0,dwChange_2016_2022,3,3038,Hole,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148_3,4308159.0,dwChange_2016_2022,4,3038,Hole,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000161_0,4.41506267E8,dwChange_2016_2022,1,3048,Øvre Eiker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000161_1,1323143.0,dwChange_2016_2022,2,3048,Øvre Eiker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000161_2,367450.0,dwChange_2016_2022,3,3048,Øvre Eiker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000161_3,1.3567652E7,dwChange_2016_2022,4,3048,Øvre Eiker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147_0,1.07386889E8,dwChange_2016_2022,1,3023,Nesodden,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147_1,852173.0,dwChange_2016_2022,2,3023,Nesodden,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147_2,13077.0,dwChange_2016_2022,3,3023,Nesodden,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147_3,8298612.0,dwChange_2016_2022,4,3023,Nesodden,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_0,2.53080228E8,dwChange_2016_2022,1,3018,Våler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_1,818944.0,dwChange_2016_2022,2,3018,Våler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_2,56741.0,dwChange_2016_2022,3,3018,Våler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_3,3000562.0,dwChange_2016_2022,4,3018,Våler,"{""type"":""MultiPoint"",""coordinates"":[]}"
